Time(hr),Time(min),Time(sec), Hour,Minute,Second,Azim,Elevetr,Elevref,Etrn,Ampress,Gndrn
11.1167,667,40020,11,7,0,0,54.4598,54.4709,1379.09,1.22785,1006.82
11.1333,668,40080,11,8,0,0,54.657,54.668,1379.09,1.22485,1007.5
11.15,669,40140,11,9,0,0,54.8537,54.8647,1379.09,1.22189,1008.18
11.1667,670,40200,11,10,0,0,55.0501,55.0609,1379.09,1.21897,1008.85
11.1833,671,40260,11,11,0,0,55.2459,55.2568,1379.09,1.21608,1009.51
11.2,672,40320,11,12,0,0,55.4414,55.4521,1379.09,1.21322,1010.17
11.2167,673,40380,11,13,0,0,55.6375,55.6482,1379.09,1.21039,1010.82
11.2333,674,40440,11,14,0,0,55.8321,55.8426,1379.09,1.2076,1011.46
11.25,675,40500,11,15,0,0,56.0261,56.0366,1379.09,1.20484,1012.09
11.2667,676,40560,11,16,0,0,56.2197,56.2301,1379.09,1.20212,1012.72
11.2833,677,40620,11,17,0,0,56.4132,56.4235,1379.09,1.19943,1013.34
11.3,678,40680,11,18,0,0,56.6066,56.6169,1379.09,1.19676,1013.96
11.3167,679,40740,11,19,0,0,56.7987,56.8089,1379.09,1.19414,1014.57
11.3333,680,40800,11,20,0,0,56.9903,57.0004,1379.09,1.19154,1015.17
11.35,681,40860,11,21,0,0,57.1813,57.1914,1379.09,1.18898,1015.76
11.3667,682,40920,11,22,0,0,57.3722,57.3822,1379.09,1.18645,1016.35
11.3833,683,40980,11,23,0,0,57.5622,57.5721,1379.09,1.18395,1016.93
11.4,684,41040,11,24,0,0,57.7525,57.7623,1379.09,1.18147,1017.51
11.4167,685,41100,11,25,0,0,57.9413,57.9511,1379.09,1.17903,1018.08
11.4333,686,41160,11,26,0,0,58.13,58.1397,1379.09,1.17662,1018.65
11.45,687,41220,11,27,0,0,58.3177,58.3273,1379.09,1.17424,1019.2
11.4667,688,41280,11,28,0,0,58.5048,58.5143,1379.09,1.17189,1019.75
11.4833,689,41340,11,29,0,0,58.6913,58.7008,1379.09,1.16957,1020.3
11.5,690,41400,11,30,0,0,58.8784,58.8878,1379.09,1.16726,1020.84
11.5167,691,41460,11,31,0,0,59.0637,59.073,1379.09,1.165,1021.37
11.5333,692,41520,11,32,0,0,59.2483,59.2576,1379.09,1.16277,1021.89
11.55,693,41580,11,33,0,0,59.4323,59.4415,1379.09,1.16057,1022.41
11.5667,694,41640,11,34,0,0,59.6156,59.6247,1379.09,1.15839,1022.93
11.5833,695,41700,11,35,0,0,59.7994,59.8085,1379.09,1.15623,1023.44
11.6,696,41760,11,36,0,0,59.9813,59.9903,1379.09,1.1541,1023.94
11.6167,697,41820,11,37,0,0,60.1626,60.1715,1379.09,1.15201,1024.43
11.6333,698,41880,11,38,0,0,60.3431,60.352,1379.09,1.14994,1024.92
11.65,699,41940,11,39,0,0,60.5229,60.5317,1379.09,1.1479,1025.41
11.6667,700,42000,11,40,0,0,60.7019,60.7106,1379.09,1.14589,1025.88
11.6833,701,42060,11,41,0,0,60.8814,60.8901,1379.09,1.14389,1026.36
11.7,702,42120,11,42,0,0,61.0589,61.0675,1379.09,1.14193,1026.83
11.7167,703,42180,11,43,0,0,61.2356,61.2442,1379.09,1.14,1027.29
11.7333,704,42240,11,44,0,0,61.4115,61.42,1379.09,1.13809,1027.74
11.75,705,42300,11,45,0,0,61.5866,61.5951,1379.09,1.13621,1028.19
11.7667,706,42360,11,46,0,0,61.7622,61.7705,1379.09,1.13434,1028.63
11.7833,707,42420,11,47,0,0,61.9356,61.9439,1379.09,1.13251,1029.07
11.8,708,42480,11,48,0,0,62.1081,62.1164,1379.09,1.1307,1029.5
11.8167,709,42540,11,49,0,0,62.2798,62.288,1379.09,1.12892,1029.93
11.8333,710,42600,11,50,0,0,62.4505,62.4587,1379.09,1.12717,1030.35
11.85,711,42660,11,51,0,0,62.6207,62.6287,1379.09,1.12544,1030.77
11.8667,712,42720,11,52,0,0,62.7906,62.7986,1379.09,1.12372,1031.18
11.8833,713,42780,11,53,0,0,62.9585,62.9665,1379.09,1.12204,1031.58
11.9,714,42840,11,54,0,0,63.1255,63.1334,1379.09,1.12038,1031.98
11.9167,715,42900,11,55,0,0,63.2915,63.2993,1379.09,1.11875,1032.37
11.9333,716,42960,11,56,0,0,63.4568,63.4645,1379.09,1.11713,1032.76
11.95,717,43020,11,57,0,0,63.6207,63.6284,1379.09,1.11555,1033.15
11.9667,718,43080,11,58,0,0,63.7848,63.7925,1379.09,1.11398,1033.52
11.9833,719,43140,11,59,0,0,63.9466,63.9543,1379.09,1.11244,1033.9
12,720,43200,12,0,0,0,64.1077,64.1152,1379.09,1.11092,1034.26
12.0167,721,43260,12,1,0,0,64.2673,64.2748,1379.09,1.10943,1034.62
12.0333,722,43320,12,2,0,0,64.4258,64.4333,1379.09,1.10796,1034.98
12.05,723,43380,12,3,0,0,64.5842,64.5916,1379.09,1.1065,1035.33
12.0667,724,43440,12,4,0,0,64.7407,64.748,1379.09,1.10508,1035.68
12.0833,725,43500,12,5,0,0,64.8957,64.903,1379.09,1.10368,1036.02
12.1,726,43560,12,6,0,0,65.0494,65.0567,1379.09,1.1023,1036.35
12.1167,727,43620,12,7,0,0,65.2019,65.2091,1379.09,1.10094,1036.68
12.1333,728,43680,12,8,0,0,65.3532,65.3603,1379.09,1.09961,1037.01
12.15,729,43740,12,9,0,0,65.5045,65.5116,1379.09,1.09828,1037.33
12.1667,730,43800,12,10,0,0,65.6532,65.6602,1379.09,1.09699,1037.64
12.1833,731,43860,12,11,0,0,65.8005,65.8075,1379.09,1.09573,1037.95
12.2,732,43920,12,12,0,0,65.9464,65.9534,1379.09,1.09448,1038.26
12.2167,733,43980,12,13,0,0,66.091,66.0979,1379.09,1.09326,1038.55
12.2333,734,44040,12,14,0,0,66.2342,66.241,1379.09,1.09205,1038.85
12.25,735,44100,12,15,0,0,66.3773,66.3841,1379.09,1.09086,1039.14
12.2667,736,44160,12,16,0,0,66.5175,66.5243,1379.09,1.0897,1039.42
12.2833,737,44220,12,17,0,0,66.6563,66.663,1379.09,1.08856,1039.7
12.3,738,44280,12,18,0,0,66.7935,66.8002,1379.09,1.08744,1039.97
12.3167,739,44340,12,19,0,0,66.9292,66.9358,1379.09,1.08634,1040.24
12.3333,740,44400,12,20,0,0,67.0647,67.0713,1379.09,1.08526,1040.51
12.35,741,44460,12,21,0,0,67.1972,67.2038,1379.09,1.0842,1040.77
12.3667,742,44520,12,22,0,0,67.3281,67.3346,1379.09,1.08317,1041.02
12.3833,743,44580,12,23,0,0,67.4573,67.4638,1379.09,1.08215,1041.27
12.4,744,44640,12,24,0,0,67.5848,67.5912,1379.09,1.08116,1041.52
12.4167,745,44700,12,25,0,0,67.7109,67.7172,1379.09,1.08018,1041.75
12.4333,746,44760,12,26,0,0,67.8361,67.8424,1379.09,1.07922,1041.99
12.45,747,44820,12,27,0,0,67.9584,67.9647,1379.09,1.07829,1042.22
